AREA_DESCR,n_flat_components,n_potential_flat_Mha,n_slope_components,n_potential_slope_Mha
Mackay/Capricorn Management Area,2504,29.322282010000002,2280,29.322282010000002
Townsville/Whitsunday Management Area,1664,16.16799163,2595,16.16799163
Cairns/Cooktown Management Area,720,8.729021699999999,2555,8.729021699999999
Far Northern Management Area,1479,14.83103634,3491,14.83103634
