region,reef_name,flat_ha,slope_ha,Area_HA,n_flat,n_slope,flat_scr,slope_scr,UNIQUE_ID
Townsville-Whitsunday,U/N Rock (20-089a),0.0,0.0,0.0,0,0,0.0,0.0,20089101108
Townsville-Whitsunday,U/N Rock (20-089b),0.0,0.0,0.0,0,0,0.0,0.0,20089102108
Townsville-Whitsunday,U/N Rock (20-089c),0.0,0.0,0.0,0,0,0.0,0.0,20089103108
Townsville-Whitsunday,U/N Rock (20-089d),0.0,0.0,0.0,0,0,0.0,0.0,20089104108
Townsville-Whitsunday,Lindeman Island (20-090),0.0,0.0,0.0,0,0,0.0,0.0,20090100102
Townsville-Whitsunday,Hunt Reef (20-134),7.48,1.48,3662.49731445,748,148,0.0127,0.0009,20134100104
Townsville-Whitsunday,Robertson Reefs (No 1) (20-135),4.98,2.5,918.60467529,498,250,0.0342,0.0058,20135100104
Townsville-Whitsunday,Robertson Reefs (No 2) (20-136),10.38,0.0,630.70806885,1038,0,0.1046,0.0,20136100104
Townsville-Whitsunday,Midge Reef (20-214),0.0,0.0,18.15205383,0,0,0.0,0.0,20214100104
Townsville-Whitsunday,U/N Reef (20-215),0.0,0.0,25.88304329,0,0,0.0,0.0,20215100104
Mackay-Capricorn,U/N Reef (20-216),0.0,0.0,27.28800011,0,0,0.0,0.0,20216100104
Mackay-Capricorn,U/N Reef (20-217),0.0,0.0,26.43165588,0,0,0.0,0.0,20217100104
Mackay-Capricorn,U/N Reef (20-218),0.0,0.0,45.86894608,0,0,0.0,0.0,20218100104
Mackay-Capricorn,Cave Island (20-219a),0.0,0.0,0.0,0,0,0.0,0.0,20219101102
Mackay-Capricorn,Cave Reef (20-219a),0.0,0.0,3.57750559,0,0,0.0,0.0,20219101104
Townsville-Whitsunday,Tinsmith Reef (20-254),0.0,0.0,29.96939087,0,0,0.0,0.0,20254100104
Mackay-Capricorn,Solder Island (20-255),0.0,0.0,0.0,0,0,0.0,0.0,20255100102
Townsville-Whitsunday,Solder Reef (20-255),0.0,0.0,9.84400272,0,0,0.0,0.0,20255100104
Mackay-Capricorn,Hempel Rock (20-256),0.0,0.0,0.0,0,0,0.0,0.0,20256100108
Mackay-Capricorn,Ingot Islets (No 1) (20-257a),0.0,0.0,0.0,0,0,0.0,0.0,20257101102
Mackay-Capricorn,U/N Reef (20-257a),0.0,0.0,4.84790325,0,0,0.0,0.0,20257101104
Mackay-Capricorn,Ingot Islets (No 2) (20-257b),0.0,0.0,0.0,0,0,0.0,0.0,20257102102
Townsville-Whitsunday,Lindeman Island Reef (No 1) (20-090a),0.0,0.0,72.72174835,0,0,0.0,0.0,20090101104
Townsville-Whitsunday,Lindeman Island Reef (No 2) (20-090b),0.0,0.0,17.05180168,0,0,0.0,0.0,20090102104
Townsville-Whitsunday,Lindeman Island Reef (No 3) (20-090c),0.0,0.0,54.80142975,0,0,0.0,0.0,20090103104
Townsville-Whitsunday,Lindeman Island Reef (No 4) (20-090d),0.0,0.0,20.30849457,0,0,0.0,0.0,20090104104
Townsville-Whitsunday,Robertson Reefs (No 3) (20-137),1.75,0.0,327.18441772,175,0,0.0336,0.0,20137100104
Townsville-Whitsunday,Bax Reef (20-138),2.46,8.14,6226.06494141,246,814,0.0025,0.0028,20138100104
Townsville-Whitsunday,Robertson Reefs (No 4) (20-139),0.56,0.0,38.14638519,56,0,0.0932,0.0,20139100104
Townsville-Whitsunday,Nixon Reef (20-140),0.61,0.0,138.0682373,61,0,0.0279,0.0,20140100104
Townsville-Whitsunday,U/N Reef (20-141),0.0,0.0,61.6866188,0,0,0.0,0.0,20141100104
Mackay-Capricorn,Pigeon Island (20-219b),0.0,0.0,0.0,0,0,0.0,0.0,20219102102
Mackay-Capricorn,Pigeon Reef (20-219b),0.0,0.0,400.01333618,0,0,0.0,0.0,20219102104
Mackay-Capricorn,U/N Island (20-219c),0.0,0.0,0.0,0,0,0.0,0.0,20219103102
Mackay-Capricorn,High Islands (North) (20-220),0.0,0.0,0.0,0,0,0.0,0.0,20220100102
Mackay-Capricorn,High Islands Reef (North) (20-220),0.0,0.0,14.18500042,0,0,0.0,0.0,20220100104
Mackay-Capricorn,Ingot Island Reef (20-257b),0.0,0.0,15.4320879,0,0,0.0,0.0,20257102104
Mackay-Capricorn,Ingot Isletss (No 3) (20-257c),0.0,0.0,0.0,0,0,0.0,0.0,20257103102
